,car_index,location_country,location_state,location_city,location_latitude,location_longitude
86,C0086,US,GA,Peachtree Corners,33.938981,-84.239727
87,C0087,US,GA,Atlanta,33.64092,-84.444136
88,C0088,US,GA,Atlanta,33.64054,-84.426852
89,C0089,US,GA,Atlanta,33.889415,-84.453633
90,C0090,US,GA,Atlanta,33.879187,-84.456395
91,C0091,US,GA,Smyrna,33.878293,-84.48794
92,C0092,US,GA,Atlanta,33.833257,-84.483681
93,C0093,US,GA,Atlanta,33.784923,-84.381204
94,C0094,US,GA,Atlanta,33.900611,-84.326224
95,C0095,US,GA,Fairburn,33.586691,-84.591842
96,C0096,US,GA,Grayson,33.905743,-83.959959
97,C0097,US,GA,Atlanta,33.81319,-84.393162
98,C0098,US,GA,Clarkston,33.799778,-84.253865
99,C0099,US,GA,Atlanta,33.647454,-84.453073
100,C0100,US,GA,Atlanta,33.810451,-84.452199
101,C0101,US,GA,Atlanta,33.875559,-84.462533
102,C0102,US,GA,Atlanta,33.878716,-84.456566
103,C0103,US,GA,Atlanta,33.668602,-84.418653
104,C0104,US,GA,Atlanta,33.890901,-84.453496
105,C0105,US,GA,Smyrna,33.849506,-84.520721
106,C0106,US,GA,Atlanta,33.789835,-84.388128
107,C0107,US,GA,Atlanta,33.659791,-84.432933
108,C0108,US,GA,Atlanta,33.776537,-84.359708
109,C0109,US,GA,Atlanta,33.749752,-84.400123
110,C0110,US,GA,Atlanta,33.884486,-84.463509
111,C0111,US,GA,Snellville,33.809233,-84.047014
112,C0112,US,GA,Marietta,33.91812,-84.554541
113,C0113,US,GA,Alpharetta,34.067805,-84.213456
114,C0114,US,GA,Atlanta,33.927373,-84.342797
115,C0115,US,GA,Kennesaw,34.019483,-84.565131
116,C0116,US,GA,Atlanta,33.648408,-84.45384
117,C0117,US,GA,Atlanta,33.927706,-84.342776
118,C0118,US,GA,Snellville,33.807028,-84.045642
119,C0119,US,GA,Kennesaw,33.990955,-84.628724
120,C0120,US,GA,Atlanta,33.927656,-84.343058
121,C0121,US,GA,Fairburn,33.621941,-84.65349
122,C0122,US,GA,Atlanta,33.776511,-84.408414
123,C0123,US,GA,Atlanta,33.713244,-84.502636
124,C0124,US,GA,Atlanta,33.68153,-84.407289
125,C0125,US,GA,Atlanta,33.63415,-84.454896
126,C0126,US,GA,Peachtree City,33.402177,-84.563264
127,C0127,US,GA,Duluth,33.992062,-84.154258
128,C0128,US,GA,Atlanta,33.772126,-84.419021
129,C0129,US,GA,Marietta,33.914354,-84.48546
130,C0130,US,GA,Atlanta,33.66857,-84.417392
131,C0131,US,GA,Atlanta,33.910368,-84.483288
132,C0132,US,GA,Atlanta,33.811362,-84.452952
133,C0133,US,GA,Atlanta,33.783971,-84.383664
134,C0134,US,GA,Atlanta,33.682324,-84.409111
135,C0135,US,GA,Atlanta,33.647684,-84.453383
136,C0136,US,GA,Woodstock,34.070795,-84.528949
137,C0137,US,GA,Mableton,33.80541,-84.526445
138,C0138,US,GA,Bremen,33.735152,-85.143922
139,C0139,US,GA,Atlanta,33.927733,-84.342829
140,C0140,US,GA,Atlanta,33.667803,-84.418423
141,C0141,US,GA,Newnan,33.394151,-84.732845
142,C0142,US,GA,Lithonia,33.723632,-84.092345
143,C0143,US,GA,Douglasville,33.72414,-84.732501
144,C0144,US,GA,Douglasville,33.63681,-84.827506
145,C0145,US,GA,Conyers,33.57398,-83.997441
146,C0146,US,GA,Atlanta,33.992527,-84.341541
147,C0147,US,GA,Decatur,33.723657,-84.168811
148,C0148,US,GA,Atlanta,33.92741,-84.342783
149,C0149,US,GA,Atlanta,33.66851,-84.418445
150,C0150,US,GA,Peachtree City,33.370201,-84.530407
151,C0151,US,GA,Atlanta,33.595022,-84.422693
152,C0152,US,GA,Atlanta,33.850201,-84.366107
153,C0153,US,GA,Mableton,33.813345,-84.529672
154,C0154,US,GA,Woodstock,34.070353,-84.529444
155,C0155,US,GA,Decatur,33.814368,-84.258781
156,C0156,US,GA,Atlanta,33.822774,-84.37176
157,C0157,US,GA,Decatur,33.753546,-84.234219
158,C0158,US,GA,Atlanta,33.787378,-84.387736
159,C0159,US,GA,Atlanta,33.683468,-84.538252
160,C0160,US,GA,Duluth,34.037805,-84.171103
161,C0161,US,GA,east point,33.659394,-84.476251
162,C0162,US,GA,Atlanta,33.668674,-84.417697
163,C0163,US,GA,Fairburn,33.580143,-84.643162
164,C0164,US,GA,Stone Mountain,33.792982,-84.194177
165,C0165,US,GA,Atlanta,33.837361,-84.363373
166,C0166,US,GA,Norcross,33.970895,-84.199674
167,C0167,US,GA,Smyrna,33.88,-84.511796
168,C0168,US,GA,Atlanta,33.648355,-84.454283
169,C0169,US,GA,Atlanta,33.668797,-84.419681
170,C0170,US,GA,Atlanta,33.60241,-84.438334
171,C0171,US,GA,Lithia Springs,33.784387,-84.636909
172,C0172,US,GA,Atlanta,33.582899,-84.471096
173,C0173,US,GA,Atlanta,33.646342,-84.453593
174,C0174,US,GA,Atlanta,33.878617,-84.456585
175,C0175,US,GA,Atlanta,33.927371,-84.342878
176,C0176,US,GA,Smyrna,33.849251,-84.519273
177,C0177,US,GA,Dunwoody,33.928988,-84.342407
178,C0178,US,GA,Atlanta,33.822646,-84.371718
179,C0179,US,GA,Atlanta,33.937641,-84.37613
180,C0180,US,GA,Sandy Springs,33.934747,-84.365228
181,C0181,US,GA,Mableton,33.806156,-84.52637
182,C0182,US,GA,Dunwoody,33.922219,-84.304205
183,C0183,US,GA,Atlanta,33.667415,-84.419198
184,C0184,US,GA,East Point,33.658852,-84.477021
185,C0185,US,GA,Atlanta,33.667718,-84.419644
186,C0186,US,GA,Atlanta,33.582376,-84.470943
187,C0187,US,GA,Atlanta,33.696169,-84.520114
188,C0188,US,GA,Douglasville,33.768065,-84.74567
189,C0189,US,GA,Decatur,33.721839,-84.169642
190,C0190,US,GA,Atlanta,33.668353,-84.418542
191,C0191,US,GA,Sandy Springs,33.917415,-84.359627
192,C0192,US,GA,Atlanta,33.786892,-84.381403
193,C0193,US,GA,Sugar Hill,34.122754,-84.03311
194,C0194,US,GA,Sandy Springs,33.934135,-84.364693
195,C0195,US,GA,Atlanta,33.813481,-84.365042
196,C0196,US,GA,Atlanta,33.740154,-84.358581
197,C0197,US,GA,Marietta,33.885875,-84.56284
198,C0198,US,GA,Atlanta,33.850502,-84.367464
199,C0199,US,GA,Atlanta,33.58197,-84.471549
200,C0200,US,GA,Decatur,33.709443,-84.266606
201,C0201,US,GA,Atlanta,33.582189,-84.471143
202,C0202,US,GA,Marietta,33.935586,-84.470631
203,C0203,US,GA,Stockbridge,33.54394,-84.231526
204,C0204,US,GA,Suwanee,34.050037,-84.089022
205,C0205,US,GA,Conyers,33.661941,-84.088375
206,C0206,US,GA,Decatur,33.708738,-84.267147
207,C0207,US,GA,Powder Springs,33.901501,-84.674359
208,C0208,US,GA,Lithonia,33.722747,-84.168365
209,C0209,US,GA,Decatur,33.709128,-84.266907
210,C0210,US,GA,Atlanta,33.773652,-84.420303
211,C0211,US,GA,Forest Park,33.606816,-84.36688
212,C0212,US,GA,Decatur,33.709186,-84.265834
213,C0213,US,GA,Stone Mountain,33.76981,-84.19351
214,C0214,US,GA,Atlanta,33.605798,-84.501351
215,C0215,US,GA,Decatur,33.793057,-84.290081
216,C0216,US,GA,Decatur,33.707521,-84.267661
217,C0217,US,GA,Norcross,33.932806,-84.139116
218,C0218,US,GA,Decatur,33.708748,-84.267983
219,C0219,US,GA,Sandy Springs,33.984904,-84.342695
220,C0220,US,GA,McDonough,33.466806,-84.216997
221,C0221,US,GA,Norcross,33.932088,-84.14028
222,C0222,US,GA,McDonough,33.504183,-84.169019
223,C0223,US,GA,Atlanta,33.753282,-84.466572
224,C0224,US,GA,Duluth,34.033443,-84.181063
225,C0225,US,GA,Atlanta,33.811329,-84.375881
226,C0226,US,GA,Covington,33.594282,-83.968334
227,C0227,US,GA,Marietta ,33.91835,-84.553948
228,C0228,US,GA,Decatur,33.708559,-84.267069
229,C0229,US,GA,Atlanta,33.772969,-84.419985
230,C0230,US,GA,Snellville,33.855996,-84.032137
231,C0231,US,GA,McDonough,33.467875,-84.216673
232,C0232,US,GA,Atlanta,33.772143,-84.418645
233,C0233,US,GA,Decatur,33.707789,-84.26747
234,C0234,US,GA,Stonecrest,33.696395,-84.171172
235,C0235,US,GA,Snellville ,33.85478,-84.031592
236,C0236,US,TX,Austin,30.286223,-97.706597
237,C0237,US,TX,Austin,30.284071,-97.706141
238,C0238,US,TX,Austin,30.307308,-97.709255
239,C0239,US,TX,Austin,30.306372,-97.70851
240,C0240,US,TX,Austin,30.306573,-97.709083
241,C0241,US,TX,Austin,30.305641,-97.708108
242,C0242,US,TX,Austin,30.30624,-97.707401
243,C0243,US,TX,Austin,30.284818,-97.705753
244,C0244,US,TX,Austin,30.184719,-97.802598
245,C0245,US,TX,Austin,30.305719,-97.708528
246,C0246,US,TX,Del Valle,30.217927,-97.66203
247,C0247,US,TX,Austin,30.285239,-97.706193
248,C0248,US,TX,Del Valle,30.219193,-97.662154
249,C0249,US,TX,Austin,30.306388,-97.709561
250,C0250,US,TX,Austin,30.307395,-97.707145
251,C0251,US,TX,Austin,30.286173,-97.706689
252,C0252,US,TX,Austin,30.307723,-97.708747
253,C0253,US,TX,Austin,30.217598,-97.686914
254,C0254,US,TX,Austin,30.285424,-97.705955
255,C0255,US,TX,Austin,30.306435,-97.706873
256,C0256,US,TX,Austin,30.306629,-97.709578
257,C0257,US,TX,Austin,30.248615,-97.733612
258,C0258,US,TX,Austin,30.285107,-97.705221
259,C0259,US,TX,Austin,30.285073,-97.705661
260,C0260,US,TX,Del Valle,30.218076,-97.662069
261,C0261,US,TX,Manor,30.36918,-97.620406
262,C0262,US,TX,Austin,30.300782,-97.712261
263,C0263,US,TX,Manor,30.342937,-97.526437
264,C0264,US,TX,Cedar Park,30.471685,-97.825615
265,C0265,US,TX,Austin,30.307486,-97.70936
266,C0266,US,TX,Austin,30.175005,-97.785674
267,C0267,US,TX,Austin,30.189194,-97.888778
268,C0268,US,TX,Manor,30.369252,-97.620195
269,C0269,US,TX,Austin,30.27461,-97.751945
270,C0270,US,TX,Austin,30.286542,-97.706306
271,C0271,US,TX,Austin,30.440669,-97.700369
272,C0272,US,TX,Austin,30.174308,-97.852839
273,C0273,US,TX,Austin,30.239613,-97.720512
274,C0274,US,TX,Round Rock,30.554584,-97.762388
275,C0275,US,TX,Austin,30.228099,-97.721796
276,C0276,US,TX,Austin,30.273903,-97.723299
277,C0277,US,TX,Manor,30.369321,-97.620106
278,C0278,US,TX,Leander,30.56407,-97.81567
279,C0279,US,TX,Round Rock,30.509571,-97.651045
280,C0280,US,TX,Austin,30.316023,-97.712861
281,C0281,US,TX,Austin,30.286347,-97.720374
282,C0282,US,TX,Austin,30.420479,-97.739445
283,C0283,US,TX,Lakeway,30.368803,-97.999417
284,C0284,US,TX,Austin,30.172393,-97.695236
285,C0285,US,TX,Austin,30.419931,-97.738037
286,C0286,US,TX,Austin,30.170285,-97.854177
287,C0287,US,TX,Austin,30.249632,-97.855855
288,C0288,US,TX,Leander,30.563432,-97.81463
289,C0289,US,TX,Round Rock,30.567746,-97.609215
290,C0290,US,TX,Round Rock,30.522564,-97.655139
291,C0291,US,TX,Austin,30.250087,-97.856532
292,C0292,US,TX,Austin,30.306554,-97.742256
293,C0293,US,TX,Austin,30.246976,-97.775147
294,C0294,US,TX,Round Rock,30.519566,-97.741162
295,C0295,US,TX,Cedar Park,30.471302,-97.825486
296,C0296,US,TX,Austin,30.169569,-97.959966
297,C0297,US,TX,Round Rock,30.559641,-97.677341
298,C0298,US,TX,Austin,30.168224,-97.810317
299,C0299,US,TX,Austin,30.282214,-97.743103
300,C0300,US,TX,Austin,30.281295,-97.742729
301,C0301,US,TX,Cedar Park,30.471511,-97.825598
302,C0302,US,TX,Austin,30.252144,-97.765354
303,C0303,US,TX,Austin,30.380052,-97.879069
304,C0304,US,TX,Del Valle,30.217841,-97.662414
305,C0305,US,TX,Del Valle,30.217694,-97.662136
306,C0306,US,TX,Austin,30.281102,-97.742697
307,C0307,US,TX,Del Valle,30.217723,-97.662243
308,C0308,US,TX,Cedar Park,30.532589,-97.856023
309,C0309,US,TX,Austin,30.285892,-97.7201
310,C0310,US,TX,Austin,30.409239,-97.700399
311,C0311,US,TX,Cedar Park,30.472551,-97.826223
312,C0312,US,TX,Austin,30.312354,-97.753531
313,C0313,US,TX,Austin,30.172033,-97.695765
314,C0314,US,TX,Cedar Park,30.531484,-97.856971
315,C0315,US,TX,Austin,30.181456,-97.771797
316,C0316,US,TX,Bastrop,30.086958,-97.307824
317,C0317,US,TX,Austin,30.186546,-97.744319
318,C0318,US,TX,Cedar Park,30.532488,-97.857745
319,C0319,US,TX,Round Rock,30.508102,-97.597166
320,C0320,US,TX,Austin,30.195245,-97.811651
321,C0321,US,TX,Round Rock,30.491107,-97.633688
322,C0322,US,TX,Austin,30.347655,-97.857329
323,C0323,US,TX,Del Valle,30.216981,-97.662619
324,C0324,US,TX,Austin,30.169396,-97.958952
325,C0325,US,TX,Cedar Park,30.472156,-97.826193
326,C0326,US,TX,Austin,30.229183,-97.721469
327,C0327,US,TX,Austin,30.16941,-97.958171
328,C0328,US,TX,Austin,30.253362,-97.765146
329,C0329,US,TX,Austin,30.465201,-97.793332
330,C0330,US,TX,Austin,30.17203,-97.695454
331,C0331,US,TX,Austin,30.260292,-97.901671
332,C0332,US,TX,Austin,30.202509,-97.807404
333,C0333,US,TX,Buda,30.087434,-97.863212
334,C0334,US,TX,Austin,30.307788,-97.72113
335,C0335,US,TX,Liberty Hill,30.699419,-97.863688
336,C0336,US,TX,Leander,30.563945,-97.814958
337,C0337,US,TX,Austin,30.24966,-97.85785
338,C0338,US,TX,Austin,30.210734,-97.667709
339,C0339,US,TX,Waco,31.536349,-97.204985
340,C0340,US,TX,Cedar Park,30.491969,-97.846945
341,C0341,US,TX,Austin,30.254914,-97.865593
342,C0342,US,TX,Austin,30.202829,-97.771173
343,C0343,US,TX,Cedar Park,30.471503,-97.825836
344,C0344,US,TX,Austin,30.13717,-97.794814
345,C0345,US,TX,Austin,30.418945,-97.739133
346,C0346,US,TX,Cedar Park,30.472093,-97.826111
347,C0347,US,TX,Dripping Springs,30.241177,-98.046087
348,C0348,US,TX,Austin,30.287585,-97.767067
349,C0349,US,TX,Austin,30.24954,-97.856581
350,C0350,US,TX,Austin,30.398521,-97.723894
351,C0351,US,TX,Austin,30.200222,-97.742816
352,C0352,US,TX,Austin,30.402777,-97.660493
353,C0353,US,TX,Austin,30.281849,-97.742374
354,C0354,US,TX,Austin,30.281003,-97.743406
355,C0355,US,TX,Austin,30.195673,-97.813254
356,C0356,US,TX,Austin,30.179984,-97.840637
357,C0357,US,TX,Pflugerville,30.472611,-97.558001
358,C0358,US,TX,Austin,30.178161,-97.695345
359,C0359,US,TX,Austin,30.420267,-97.856875
360,C0360,US,TX,Austin,30.204229,-97.806249
361,C0361,US,TX,Austin,30.417177,-97.711455
362,C0362,US,TX,Austin,30.271118,-97.758677
363,C0363,US,TX,Austin,30.190479,-97.792669
364,C0364,US,TX,Austin,30.246411,-97.751444
365,C0365,US,TX,Austin,30.282543,-97.742769
366,C0366,US,TX,Austin,30.28122,-97.741169
367,C0367,US,TX,Austin,30.249553,-97.856495
368,C0368,US,TX,Austin,30.249388,-97.856408
369,C0369,US,TX,Austin,30.202869,-97.77119
370,C0370,US,TX,Austin,30.200141,-97.74275
371,C0371,US,TX,Austin,30.150364,-97.719832
372,C0372,US,TX,Lakeway,30.34236,-97.969402
373,C0373,US,TX,Cedar Park,30.523382,-97.863155
374,C0374,US,TX,Lakeway,30.369053,-97.998365
375,C0375,US,TX,Austin,30.245169,-97.752532
376,C0376,US,TX,Austin,30.246203,-97.751169
377,C0377,US,TX,Austin,30.231489,-97.750083
378,C0378,US,TX,Austin,30.205999,-97.779891
379,C0379,US,TX,Austin,30.404873,-97.713525
380,C0380,US,TX,Austin,30.422903,-97.784639
381,C0381,US,TX,Austin,30.247572,-97.775373
382,C0382,US,TX,Kyle,29.989504,-97.859886
383,C0383,US,TX,Austin,30.249627,-97.8567
384,C0384,US,TX,Austin,30.349875,-97.733228
385,C0385,US,TX,Kyle,29.990309,-97.858799
386,C0386,US,TX,Cedar Park,30.49195,-97.847827
387,C0387,US,TX,Austin,30.420111,-97.844791
388,C0388,US,TX,Kyle,29.990009,-97.859521
389,C0389,US,TX,Austin,30.405372,-97.713717
390,C0390,US,TX,Austin,30.178514,-97.694673
391,C0391,US,TX,Austin,30.399357,-97.748054
392,C0392,US,TX,Austin,30.292881,-97.719245
393,C0393,US,TX,Round Rock,30.566959,-97.662537
394,C0394,US,TX,Austin,30.348924,-97.733856
395,C0395,US,TX,Austin,30.422856,-97.78499
396,C0396,US,TX,Austin,30.179241,-97.695907
397,C0397,US,TX,Austin,30.348408,-97.734595
398,C0398,US,TX,Austin,30.419914,-97.844798
399,C0399,US,TX,Austin,30.349486,-97.73431
400,C0400,US,TX,Austin,30.179585,-97.695114
401,C0401,US,TX,Austin,30.180342,-97.839816
402,C0402,US,TX,Austin,30.178611,-97.839696
403,C0403,US,TX,Austin,30.349981,-97.734548
404,C0404,US,TX,Austin,30.349692,-97.734379
405,C0405,US,TX,Austin,30.357025,-97.738954
406,C0406,US,TX,Austin,30.179349,-97.840803
407,C0407,US,TX,Austin,30.350075,-97.735239
408,C0408,US,TX,Austin,30.18031,-97.839644
409,C0409,US,TX,Austin,30.423899,-97.78437
410,C0410,US,NC,Arden,35.463829,-82.515904
411,C0411,US,NC,Barnardsville,35.756719,-82.427241
412,C0412,US,NC,Asheville,35.594666,-82.55156
413,C0413,US,NC,Asheville,35.554502,-82.539058
414,C0414,US,NC,Black Mountain,35.617781,-82.317852
415,C0415,US,NC,Arden,35.464409,-82.515226
416,C0416,US,NC,Arden,35.444503,-82.535821
417,C0417,US,NC,Whittier,35.410798,-83.325849
418,C0418,US,NC,Asheville,35.484145,-82.550781
419,C0419,US,NC,Columbus,35.253765,-82.210053
420,C0420,US,NC,Asheville,35.485123,-82.552384
421,C0421,US,NC,Asheville,35.614506,-82.648556
422,C0422,US,CT,Bristol,41.709025,-72.903524
423,C0423,US,CT,Windsor,41.838655,-72.663271
424,C0424,US,CT,Vernon,41.824487,-72.485476
425,C0425,US,MA,Springfield,42.09985,-72.58714
426,C0426,US,CT,Glastonbury,41.716968,-72.572893
427,C0427,US,CT,Vernon,41.824804,-72.488751
428,C0428,US,CT,Glastonbury,41.716399,-72.57139
429,C0429,US,CT,Wallingford,41.458095,-72.80772
430,C0430,US,CT,Vernon,41.824915,-72.483897
431,C0431,US,CT,Cromwell,41.620066,-72.689211
432,C0432,US,CT,Vernon,41.827142,-72.485049
433,C0433,US,CT,Windsor,41.838764,-72.663227
434,C0434,US,CT,New Britain,41.682342,-72.772482
435,C0435,US,CT,Wallingford,41.458393,-72.808329
436,C0436,US,CT,New Britain,41.681576,-72.772868
437,C0437,US,CT,Bristol,41.667221,-72.922122
438,C0438,US,CT,East Hartford,41.771083,-72.612939
439,C0439,US,CT,New Britain,41.689327,-72.789604
440,C0440,US,CT,Windsor,41.838835,-72.663079
441,C0441,US,CT,Farmington,41.735842,-72.799885
442,C0442,US,CT,North Haven,41.382943,-72.882417
443,C0443,US,CT,Farmington,41.731912,-72.790824
444,C0444,US,CT,Cromwell,41.619969,-72.69011
445,C0445,US,CT,Windsor,41.839168,-72.662798
446,C0446,US,WA,Seattle,47.620862,-122.320774
447,C0447,US,WA,Seattle,47.658837,-122.291019
448,C0448,US,WA,Seattle,47.661827,-122.280632
449,C0449,US,WA,Seattle,47.660728,-122.280633
450,C0450,US,WA,Issaquah,47.553276,-122.076813
451,C0451,US,WA,Seattle,47.669831,-122.297082
452,C0452,US,WA,Edmonds,47.786088,-122.343606
453,C0453,US,WA,Kent,47.377536,-122.203713
454,C0454,US,WA,Kent,47.366652,-122.16764
455,C0455,US,WA,Kent,47.367706,-122.166928
456,C0456,US,WA,Olympia,46.998002,-122.868605
457,C0457,US,WA,Redmond,47.671865,-122.128354
458,C0458,US,WA,Kirkland,47.698706,-122.188845
459,C0459,US,WA,Bothell,47.801104,-122.184823
460,C0460,US,ME,Bangor,44.8063,-68.823637
461,C0461,US,AL,Irondale,33.547441,-86.68042
462,C0462,US,AL,Irondale,33.546859,-86.682149
463,C0463,US,AL,Birmingham,33.654985,-86.723972
464,C0464,US,AL,Hoover,33.354619,-86.791406
465,C0465,US,AL,Irondale,33.54653,-86.68188
466,C0466,US,AL,Oxford,33.612678,-85.793056
467,C0467,US,AL,Oxford,33.610918,-85.793941
468,C0468,US,AL,Vestavia Hills,33.417817,-86.810919
469,C0469,US,AL,Oxford,33.612044,-85.792954
470,C0470,US,MT,Billings,45.8044,-108.538753
471,C0471,US,TN,Nashville,36.144821,-86.66795
472,C0472,US,TN,Nashville,36.144524,-86.667723
473,C0473,US,TN,Nashville,36.143758,-86.667644
474,C0474,US,TN,Nashville,36.144093,-86.667442
475,C0475,US,TN,Nashville,36.102231,-86.646142
476,C0476,US,TN,Nashville,36.144329,-86.668383
477,C0477,US,TN,Nashville,36.126768,-86.677633
478,C0478,US,TN,goodlettsville,36.290552,-86.738067
479,C0479,US,TN,Dickson,36.065433,-87.374068
480,C0480,US,TN,goodlettsville,36.291842,-86.737076
481,C0481,US,TN,Nashville,36.0157,-86.710746
482,C0482,US,TN,Nashville,36.084671,-86.643423
483,C0483,US,TN,Brentwood,36.024603,-86.787945
484,C0484,US,TN,La Vergne,36.024932,-86.583241
485,C0485,US,TN,Nashville,36.154764,-86.775611
486,C0486,US,TN,Nashville,36.084772,-86.64302
487,C0487,US,TN,Nashville,36.128283,-86.749793
488,C0488,US,TN,Spring Hill,35.738392,-86.893133
489,C0489,US,TN,Nashville,36.259843,-86.738015
490,C0490,US,TN,Nashville,36.083487,-86.643043
491,C0491,US,TN,Brentwood,36.034244,-86.747107
492,C0492,US,TN,Brentwood,36.03473,-86.747089
493,C0493,US,TN,Nashville,36.025006,-86.712243
494,C0494,US,TN,Nashville,36.161301,-86.876438
495,C0495,US,TN,Hendersonville,36.289546,-86.576018
496,C0496,US,TN,Murfreesboro,35.82258,-86.457155
497,C0497,US,TN,Murfreesboro,35.755943,-86.407879
498,C0498,US,TN,Nashville,36.085259,-86.644044
499,C0499,US,TN,Brentwood,36.025164,-86.788805
500,C0500,US,TN,Nashville,36.152289,-86.693406
501,C0501,US,TN,Nashville,36.090934,-86.817172
502,C0502,US,TN,Brentwood,35.963253,-86.818387
503,C0503,US,TN,Spring Hill,35.708165,-86.893002
504,C0504,US,TN,Nashville,36.254321,-86.72618
505,C0505,US,TN,Nashville,36.084965,-86.644124
506,C0506,US,TN,Murfreesboro,35.816025,-86.347118
507,C0507,US,TN,Brentwood,35.962453,-86.817485
508,C0508,US,TN,Brentwood,36.04281,-86.767805
509,C0509,US,TN,nashville,36.124308,-86.757218
