,car_index,fuelType,owner_id,vehicle_make,vehicle_model,vehicle_type,vehicle_year
128,C0128,GASOLINE,7221030,Mitsubishi,Mirage,car,2014
129,C0129,GASOLINE,1919268,Chevrolet,Corvette,car,2017
130,C0130,GASOLINE,6482788,Porsche,Panamera,car,2016
131,C0131,DIESEL,11454718,Land Rover,Range Rover,suv,2016
132,C0132,GASOLINE,2052844,BMW,4 Series,car,2014
133,C0133,GASOLINE,8752492,Lexus,IS 200t,car,2016
134,C0134,GASOLINE,3792936,Chevrolet,Suburban,suv,2012
135,C0135,GASOLINE,8444510,Nissan,Versa,car,2017
136,C0136,GASOLINE,14354281,Maserati,Ghibli,car,2017
137,C0137,GASOLINE,217743,Jaguar,F-TYPE,car,2014
138,C0138,GASOLINE,15581324,BMW,4 Series,car,2015
139,C0139,GASOLINE,511103,Dodge,Challenger,car,2019
140,C0140,GASOLINE,10413163,Audi,A7,car,2017
141,C0141,GASOLINE,13728129,Ford,Mustang,car,2014
142,C0142,GASOLINE,15031450,Maserati,Ghibli,car,2017
143,C0143,DIESEL,14841812,Audi,Q7,suv,2015
144,C0144,GASOLINE,2530195,Acura,MDX,suv,2016
145,C0145,GASOLINE,15152803,Ford,Mustang,car,2018
146,C0146,ELECTRIC,310752,Tesla,Model S,car,2015
147,C0147,GASOLINE,7363993,Hyundai,Accent,car,2017
148,C0148,GASOLINE,511103,Dodge,Challenger,car,2018
149,C0149,GASOLINE,6482788,Maserati,Ghibli,car,2015
150,C0150,ELECTRIC,1416567,Tesla,Model S,car,2013
151,C0151,,14917535,Kia,Rio,car,2020
152,C0152,GASOLINE,10872556,Nissan,Altima,car,2018
153,C0153,ELECTRIC,217743,Tesla,Model X,suv,2017
154,C0154,GASOLINE,14354281,Mercedes-Benz,S-Class,car,2014
155,C0155,ELECTRIC,270450,Tesla,Model 3,car,2018
156,C0156,GASOLINE,10216804,Volkswagen,Jetta,car,2011
157,C0157,GASOLINE,15117491,Volkswagen,New Beetle,car,2008
158,C0158,GASOLINE,6830247,Porsche,Cayenne,suv,2017
159,C0159,GASOLINE,3665954,Chevrolet,Silverado 1500,truck,2017
160,C0160,ELECTRIC,8655954,Tesla,Model 3,car,2020
161,C0161,HYBRID,4782598,Kia,Optima,car,2016
162,C0162,GASOLINE,6482788,Porsche,Macan,suv,2017
163,C0163,GASOLINE,12029322,Kia,Sorento,suv,2014
164,C0164,GASOLINE,5253132,Jeep,Wrangler,suv,2017
165,C0165,GASOLINE,4726027,GMC,Yukon XL,suv,2019
166,C0166,GASOLINE,5586320,Porsche,Boxster,car,2015
167,C0167,GASOLINE,1740878,Lexus,IS,car,2020
168,C0168,GASOLINE,507900,Nissan,Versa Note,car,2015
169,C0169,GASOLINE,6482788,Mercedes-Benz,CLS-Class,car,2016
170,C0170,GASOLINE,8814550,Dodge,Charger,car,2020
171,C0171,GASOLINE,9218210,Kia,Soul,car,2014
172,C0172,GASOLINE,1426383,Volkswagen,Passat,car,2015
173,C0173,GASOLINE,507900,Nissan,Altima,car,2016
174,C0174,GASOLINE,6580855,Hyundai,Elantra,car,2019
175,C0175,GASOLINE,511103,Jeep,Grand Cherokee,suv,2019
176,C0176,GASOLINE,11312622,MINI,Cooper,car,2015
177,C0177,GASOLINE,511103,Jeep,Grand Cherokee,suv,2017
178,C0178,GASOLINE,10216804,Volkswagen,Passat,car,2012
179,C0179,HYBRID,12800611,BMW,i8,car,2016
180,C0180,GASOLINE,1251177,Land Rover,Range Rover Velar,suv,2018
181,C0181,ELECTRIC,217743,Tesla,Model 3,car,2020
182,C0182,ELECTRIC,8691695,Tesla,Model 3,car,2020
183,C0183,ELECTRIC,6482788,Tesla,Model S,car,2013
184,C0184,HYBRID,4782598,Toyota,Prius,car,2010
185,C0185,GASOLINE,10413163,Mercedes-Benz,E-Class,car,2016
186,C0186,GASOLINE,1426383,BMW,X5,suv,2009
187,C0187,GASOLINE,1891792,Jeep,Compass,suv,2018
188,C0188,GASOLINE,5133548,Polaris,Slingshot,car,2017
189,C0189,GASOLINE,7363993,Chevrolet,Cruze,car,2017
190,C0190,GASOLINE,10413163,Jeep,Wrangler Unlimited,suv,2019
191,C0191,GASOLINE,15346119,Chevrolet,Camaro,car,2015
192,C0192,GASOLINE,5801653,Mercedes-Benz,E-Class,car,2014
193,C0193,GASOLINE,6939498,Chrysler,300,car,2018
194,C0194,GASOLINE,1251177,Maserati,Levante,suv,2020
195,C0195,GASOLINE,7725344,Mercedes-Benz,E-Class,car,2012
196,C0196,GASOLINE,10167863,Jeep,Wrangler,suv,2017
197,C0197,GASOLINE,14953193,Hyundai,Genesis,car,2014
198,C0198,GASOLINE,1057995,BMW,X5,suv,2015
199,C0199,GASOLINE,1426383,Nissan,Sentra,car,2017
200,C0200,GASOLINE,1661563,Toyota,Camry,car,2017
201,C0201,GASOLINE,1426383,BMW,3 Series,car,2011
202,C0202,GASOLINE,15185267,Toyota,RAV4,suv,2017
203,C0203,GASOLINE,10439598,Chevrolet,Tahoe,suv,2015
204,C0204,GASOLINE,312450,Mazda,MX-5 Miata,car,2016
205,C0205,GASOLINE,15693009,Dodge,Grand Caravan,minivan,2016
206,C0206,GASOLINE,1661563,Toyota,Camry,car,2018
207,C0207,GASOLINE,8952295,BMW,X4,suv,2020
208,C0208,GASOLINE,7363993,Chevrolet,Cruze,car,2017
209,C0209,HYBRID,1661563,Lexus,HS 250h,car,2010
210,C0210,GASOLINE,7221030,Audi,A4,car,2012
211,C0211,GASOLINE,1727097,Kia,Optima,car,2013
212,C0212,GASOLINE,1661563,Toyota,Sienna,minivan,2012
213,C0213,,5162679,Toyota,Camry,car,2020
214,C0214,GASOLINE,15622497,Jeep,Patriot,suv,2015
215,C0215,GASOLINE,14910142,Mercedes-Benz,CLA-Class,car,2018
216,C0216,GASOLINE,1661563,Toyota,Camry,car,2018
217,C0217,GASOLINE,3698495,Ford,Escape,suv,2017
218,C0218,GASOLINE,1661563,Toyota,Camry,car,2017
219,C0219,GASOLINE,14634339,Chevrolet,Suburban,suv,2019
220,C0220,GASOLINE,10244672,Lexus,IS 250,car,2015
221,C0221,GASOLINE,3698495,Ford,Focus,car,2018
222,C0222,ELECTRIC,7934891,Tesla,Model X,suv,2019
223,C0223,,1886829,Land Rover,Range Rover,suv,2020
224,C0224,,886557,Audi,A8,car,2015
225,C0225,GASOLINE,3659271,BMW,4 Series Gran Coupe,car,2016
226,C0226,GASOLINE,1238898,Nissan,Altima,car,2015
227,C0227,GASOLINE,735348,Ford,F-150,truck,2019
228,C0228,GASOLINE,1661563,Toyota,Yaris iA,car,2017
229,C0229,GASOLINE,7221030,Buick,LaCrosse,car,2016
230,C0230,GASOLINE,308839,Acura,TSX,car,2011
231,C0231,GASOLINE,10244672,Lexus,IS 250,car,2015
232,C0232,GASOLINE,7221030,Volkswagen,Tiguan,suv,2011
233,C0233,HYBRID,1661563,Toyota,Camry,car,2008
234,C0234,GASOLINE,15739167,Lexus,IS 250,car,2014
235,C0235,GASOLINE,308839,Acura,TSX,car,2011
236,C0236,HYBRID,4353395,Toyota,Prius v,car,2012
237,C0237,GASOLINE,988215,Volkswagen,Jetta,car,2017
238,C0238,GASOLINE,10089647,Kia,Soul,car,2018
239,C0239,GASOLINE,8421016,Hyundai,Elantra,car,2015
240,C0240,HYBRID,4353395,Toyota,Prius,car,2010
241,C0241,HYBRID,4353395,Toyota,Prius,car,2010
242,C0242,HYBRID,4353395,Lexus,HS 250h,car,2011
243,C0243,GASOLINE,14404790,FIAT,500,car,2012
244,C0244,GASOLINE,7095382,Kia,Rio,car,2009
245,C0245,HYBRID,4353395,Toyota,Prius,car,2010
246,C0246,GASOLINE,11279587,Honda,Accord,car,2011
247,C0247,HYBRID,4353395,Lexus,CT 200h,car,2012
248,C0248,GASOLINE,11279587,BMW,5 Series,car,2016
249,C0249,GASOLINE,914019,BMW,3 Series,car,2011
250,C0250,GASOLINE,914019,Mercedes-Benz,C-Class,car,2009
251,C0251,GASOLINE,5343023,FIAT,500,car,2013
252,C0252,GASOLINE,8421016,BMW,3 Series,car,2016
253,C0253,GASOLINE,8793776,Mercedes-Benz,CLA-Class,car,2015
254,C0254,HYBRID,4353395,Lexus,CT 200h,car,2012
255,C0255,GASOLINE,914019,BMW,X1,suv,2013
256,C0256,GASOLINE,914019,BMW,3 Series,car,2009
257,C0257,GASOLINE,14602921,Mercedes-Benz,CLA-Class,car,2017
258,C0258,GASOLINE,10089647,Hyundai,Elantra GT,car,2017
259,C0259,GASOLINE,8421016,Hyundai,Sonata,car,2019
260,C0260,HYBRID,11279587,Toyota,Prius c,car,2012
261,C0261,GASOLINE,9046223,Alfa-romeo,Giulia,car,2019
262,C0262,GASOLINE,9463179,GMC,Sierra 1500,truck,2016
263,C0263,GASOLINE,13858730,Chevrolet,Camaro,car,2018
264,C0264,ELECTRIC,1351290,Tesla,Model X,suv,2017
265,C0265,GASOLINE,914019,Toyota,Yaris,car,2008
266,C0266,GASOLINE,7376797,BMW,5 Series,car,2018
267,C0267,GASOLINE,10147412,Porsche,Boxster,car,2014
268,C0268,GASOLINE,9046223,Mercedes-Benz,CLA-Class,car,2018
269,C0269,GASOLINE,8755908,Mercedes-benz,GLC-Class,suv,2019
270,C0270,GASOLINE,988215,Chevrolet,Trax,suv,2018
271,C0271,GASOLINE,4471592,Chevrolet,Corvette,car,2007
272,C0272,GASOLINE,7649574,BMW,4 Series,car,2018
273,C0273,GASOLINE,2130021,Mercedes-Benz,C-Class,car,2016
274,C0274,GASOLINE,5880880,Land Rover,Range Rover Evoque,suv,2015
275,C0275,GASOLINE,6510847,Nissan,Sentra,car,2017
276,C0276,GASOLINE,5793069,Ford,Mustang,car,2016
277,C0277,GASOLINE,9046223,Mercedes-Benz,CLA-Class,car,2017
278,C0278,ELECTRIC,10817313,Tesla,Model 3,car,2020
279,C0279,ELECTRIC,11986021,Tesla,Model 3,car,2020
280,C0280,GASOLINE,9113625,Ford,Mustang,car,2014
281,C0281,GASOLINE,15054209,Mercedes-Benz,SL-Class,car,2017
282,C0282,GASOLINE,7107554,Audi,S5,car,2015
283,C0283,ELECTRIC,3037579,Tesla,Model S,car,2018
284,C0284,HYBRID,2693957,Toyota,Prius,car,2008
285,C0285,GASOLINE,7107554,BMW,M4,car,2016
286,C0286,GASOLINE,1849874,Volkswagen,Atlas Cross Sport,suv,2020
287,C0287,GASOLINE,4022601,Chevrolet,Corvette,car,2019
288,C0288,GASOLINE,10817313,Polaris,Slingshot,car,2019
289,C0289,GASOLINE,4738959,Dodge,Challenger,car,2015
290,C0290,GASOLINE,268973,Ford,Mustang,car,2018
291,C0291,GASOLINE,4022601,Dodge,Challenger,car,2019
292,C0292,GASOLINE,11222799,Mercedes-benz,GLC-Class,suv,2019
293,C0293,GASOLINE,305300,Toyota,4Runner,suv,2016
294,C0294,ELECTRIC,1351290,Tesla,Model 3,car,2018
295,C0295,ELECTRIC,1351290,Tesla,Model Y,suv,2020
296,C0296,GASOLINE,4742782,Porsche,Cayenne,suv,2014
297,C0297,GASOLINE,10240102,BMW,5 Series,car,2014
298,C0298,GASOLINE,9921706,Mercedes-benz,C-Class,car,2019
299,C0299,GASOLINE,526216,Mercedes-Benz,E-Class,car,2017
300,C0300,GASOLINE,526216,Chevrolet,Corvette,car,2019
301,C0301,ELECTRIC,1351290,Tesla,Model 3,car,2019
302,C0302,HYBRID,1432343,Land Rover,Range Rover Sport,suv,2020
303,C0303,GASOLINE,14821685,Audi,TTS,car,2010
304,C0304,HYBRID,226203,Toyota,Prius,car,2009
305,C0305,GASOLINE,226203,Lexus,ES 350,car,2009
306,C0306,GASOLINE,526216,Toyota,Sequoia,suv,2018
307,C0307,GASOLINE,226203,Toyota,Camry,car,2010
308,C0308,GASOLINE,2205924,Toyota,Camry,car,2017
309,C0309,GASOLINE,15054209,BMW,X6,suv,2016
310,C0310,GASOLINE,15215074,Maserati,Ghibli,car,2019
311,C0311,GASOLINE,1351290,Lincoln,Navigator,suv,2016
312,C0312,GASOLINE,2907482,Acura,MDX,suv,2016
313,C0313,GASOLINE,2693957,Chevrolet,Equinox,suv,2019
314,C0314,GASOLINE,2205924,Honda,Accord Sedan,car,2019
315,C0315,ELECTRIC,2401031,Tesla,Model 3,car,2018
316,C0316,GASOLINE,8907527,Honda,Ridgeline,truck,2014
317,C0317,GASOLINE,3595768,Ford,F-150,truck,2014
318,C0318,GASOLINE,2205924,Toyota,Highlander,suv,2019
319,C0319,GASOLINE,3796227,Mercedes-Benz,S-Class,car,2013
320,C0320,ELECTRIC,4722830,Tesla,Model 3,car,2020
321,C0321,ELECTRIC,1698554,Tesla,Model X,suv,2018
322,C0322,GASOLINE,11555570,BMW,X5,suv,2012
323,C0323,HYBRID,226203,Toyota,Prius,car,2009
324,C0324,GASOLINE,4742782,Mercedes-Benz,GL-Class,suv,2012
325,C0325,GASOLINE,1351290,Chevrolet,Suburban,suv,2020
326,C0326,GASOLINE,6510847,FIAT,500,car,2012
327,C0327,GASOLINE,4742782,Mercedes-Benz,Metris,minivan,2018
328,C0328,,1432343,Jeep,Wrangler Unlimited,suv,2020
329,C0329,GASOLINE,13619893,Audi,A6,car,2018
330,C0330,GASOLINE,2693957,Dodge,Challenger,car,2015
331,C0331,GASOLINE,1735989,Jeep,Wrangler,suv,2013
332,C0332,GASOLINE,8642074,Hyundai,Genesis,car,2013
333,C0333,GASOLINE,14324204,Lexus,GS 350,car,2013
334,C0334,GASOLINE,1323619,Ford,Escape,suv,2015
335,C0335,GASOLINE,6123565,Mitsubishi,Eclipse Cross,suv,2019
336,C0336,GASOLINE,10817313,Jeep,Wrangler,suv,2020
337,C0337,GASOLINE,4022601,Mercedes-benz,C-Class,car,2019
338,C0338,GASOLINE,9859133,Nissan,Rogue,suv,2019
339,C0339,GASOLINE,10135745,Chevrolet,Suburban,suv,2017
340,C0340,GASOLINE,5128958,Chevrolet,Suburban,suv,2012
341,C0341,ELECTRIC,10486401,Audi,E-Tron,suv,2019
342,C0342,GASOLINE,13078780,Infiniti,QX60,suv,2020
343,C0343,GASOLINE,1351290,Honda,Pilot,suv,2019
344,C0344,GASOLINE,10373750,GMC,Yukon,suv,2012
345,C0345,GASOLINE,7107554,Audi,A4,car,2016
346,C0346,GASOLINE,1351290,Honda,Odyssey,minivan,2020
347,C0347,GASOLINE,856042,Jeep,Wrangler,suv,2018
348,C0348,GASOLINE,1031296,Hyundai,Santa Fe,suv,2013
349,C0349,GASOLINE,4022601,Toyota,Supra,car,2020
350,C0350,GASOLINE,11067767,Cadillac,CTS Coupe,car,2011
351,C0351,GASOLINE,3143655,Toyota,Tacoma,truck,2018
352,C0352,GASOLINE,10323824,GMC,Acadia,suv,2015
353,C0353,GASOLINE,526216,Toyota,Highlander,suv,2019
354,C0354,GASOLINE,526216,Toyota,Highlander,suv,2019
355,C0355,GASOLINE,4722830,Jeep,Wrangler,suv,2017
356,C0356,GASOLINE,10253567,Jeep,Wrangler,suv,2015
357,C0357,GASOLINE,4879293,Audi,A5,car,2018
358,C0358,GASOLINE,2885282,Jeep,Wrangler,suv,2016
359,C0359,GASOLINE,2451165,Lincoln,Navigator,suv,2015
360,C0360,GASOLINE,14436588,Chevrolet,Tahoe,suv,2011
361,C0361,GASOLINE,11179653,Lexus,NX 200t,suv,2015
362,C0362,GASOLINE,527562,Land Rover,Range Rover Sport,suv,2018
363,C0363,GASOLINE,2474094,BMW,5 Series,car,2012
364,C0364,GASOLINE,11676918,Subaru,Impreza,car,2012
365,C0365,GASOLINE,526216,Toyota,Camry,car,2020
366,C0366,GASOLINE,526216,Toyota,Camry,car,2017
367,C0367,GASOLINE,4022601,Infiniti,QX60,suv,2020
368,C0368,GASOLINE,4022601,Honda,Accord Sedan,car,2019
369,C0369,GASOLINE,13078780,Toyota,Camry,car,2020
370,C0370,GASOLINE,3143655,Honda,Civic Sedan,car,2019
371,C0371,HYBRID,13184353,Lexus,CT 200h,car,2015
372,C0372,GASOLINE,1533794,Hyundai,Sonata,car,2020
373,C0373,GASOLINE,5128958,Toyota,Camry,car,2015
374,C0374,GASOLINE,3037579,MINI,Convertible,car,2018
375,C0375,HYBRID,11676918,Toyota,Prius,car,2013
376,C0376,GASOLINE,11676918,Subaru,Impreza,car,2009
377,C0377,GASOLINE,8153568,Mazda,Mazda6,car,2019
378,C0378,GASOLINE,45702,Mazda,CX-5,suv,2014
379,C0379,GASOLINE,10701860,Hyundai,Sonata,car,2015
380,C0380,GASOLINE,656440,Toyota,Sienna,minivan,2012
381,C0381,GASOLINE,1854243,MINI,Hardtop 2 Door,car,2017
382,C0382,GASOLINE,4303241,Hyundai,Elantra,car,2017
383,C0383,GASOLINE,4022601,Infiniti,Q50,car,2019
384,C0384,GASOLINE,2064076,Lexus,RX 350,suv,2014
385,C0385,GASOLINE,4303241,Nissan,Sentra,car,2015
386,C0386,GASOLINE,5128958,Honda,HR-V,suv,2019
387,C0387,GASOLINE,8693408,Honda,Civic,car,2016
388,C0388,GASOLINE,4303241,Kia,Rio,car,2019
389,C0389,GASOLINE,10701860,Nissan,Sentra,car,2018
390,C0390,GASOLINE,2885282,Nissan,Frontier,truck,2015
391,C0391,GASOLINE,2064076,Ford,F-150,truck,2014
392,C0392,GASOLINE,1607310,Volvo,S40,car,2011
393,C0393,HYBRID,1821967,Kia,Optima Hybrid,car,2018
394,C0394,GASOLINE,2064076,Lexus,ES 330,car,2006
395,C0395,GASOLINE,656440,Toyota,Corolla,car,2018
396,C0396,GASOLINE,2885282,Toyota,Camry,car,2009
397,C0397,HYBRID,2064076,Toyota,Prius,car,2015
398,C0398,GASOLINE,8693408,Toyota,Corolla,car,2017
399,C0399,HYBRID,2064076,Toyota,Prius c,car,2012
400,C0400,GASOLINE,2885282,Volkswagen,Jetta,car,2013
401,C0401,HYBRID,10253567,Toyota,Prius c,car,2015
402,C0402,GASOLINE,10253567,Honda,Civic,car,2014
403,C0403,GASOLINE,2064076,Toyota,Camry,car,2011
404,C0404,GASOLINE,2064076,Toyota,RAV4,suv,2011
405,C0405,GASOLINE,2064076,Toyota,RAV4,suv,2012
406,C0406,GASOLINE,10253567,Honda,Fit,car,2011
407,C0407,GASOLINE,2064076,Toyota,Corolla,car,2007
408,C0408,GASOLINE,10253567,Honda,Fit,car,2008
409,C0409,GASOLINE,656440,Toyota,Corolla,car,2006
410,C0410,GASOLINE,14968053,Ford,Mustang,car,2019
411,C0411,ELECTRIC,14788580,Tesla,Model S,car,2014
412,C0412,HYBRID,187736,Kia,Niro,suv,2017
413,C0413,GASOLINE,1885413,Dodge,Grand Caravan,minivan,2017
414,C0414,GASOLINE,10027724,Jeep,Cherokee,suv,2017
415,C0415,GASOLINE,14968053,Jeep,Wrangler,suv,2018
416,C0416,GASOLINE,6442535,Ford,Transit Wagon,van,2018
417,C0417,GASOLINE,6607832,Polaris,Slingshot,car,2020
418,C0418,GASOLINE,10681742,Ford,mustang,car,1968
419,C0419,GASOLINE,13158307,Chevrolet,Colorado,truck,2015
420,C0420,GASOLINE,10681742,Ford,Shelby AC Cobra,car,1965
421,C0421,,3422524,Rolls Royce,Silver Shadow,car,1976
422,C0422,GASOLINE,9132914,Lexus,RX 350,suv,2010
423,C0423,GASOLINE,1424132,Chevrolet,Corvette Stingray,car,2014
