,car_index,rating,renterTripsTaken,reviewCount,rate_daily
83,C0083,5.0,70,62,195
84,C0084,5.0,13,13,130
85,C0085,5.0,51,44,209
86,C0086,4.94,61,51,123
87,C0087,,0,0,70
88,C0088,5.0,5,4,250
89,C0089,5.0,2,2,120
90,C0090,5.0,39,31,65
91,C0091,5.0,14,14,180
92,C0092,4.94,18,18,156
93,C0093,5.0,13,13,64
94,C0094,4.89,56,47,245
95,C0095,4.93,72,61,299
96,C0096,5.0,2,2,98
97,C0097,5.0,12,11,140
98,C0098,5.0,25,22,205
99,C0099,4.92,37,36,32
100,C0100,5.0,35,35,300
101,C0101,4.94,19,18,99
102,C0102,4.97,41,34,35
103,C0103,5.0,41,39,135
104,C0104,4.89,11,9,150
105,C0105,4.9,14,10,90
106,C0106,,0,0,138
107,C0107,4.86,7,7,150
108,C0108,4.91,53,45,385
109,C0109,5.0,5,5,250
110,C0110,5.0,6,5,150
111,C0111,5.0,12,11,202
112,C0112,,0,0,135
113,C0113,5.0,2,2,151
114,C0114,4.82,71,61,110
115,C0115,5.0,6,5,300
116,C0116,4.73,27,26,32
117,C0117,4.96,59,54,95
118,C0118,5.0,5,4,150
119,C0119,5.0,3,1,60
120,C0120,4.85,51,48,129
121,C0121,,0,0,82
122,C0122,,1,0,105
123,C0123,5.0,23,21,147
124,C0124,4.85,28,26,122
125,C0125,4.74,28,23,49
126,C0126,5.0,26,21,139
127,C0127,4.77,17,13,149
128,C0128,4.51,51,39,37
129,C0129,5.0,15,9,180
130,C0130,4.88,47,42,165
131,C0131,5.0,2,1,211
132,C0132,4.87,56,47,120
133,C0133,4.92,45,40,99
134,C0134,5.0,3,2,127
135,C0135,4.86,30,28,32
136,C0136,5.0,14,11,200
137,C0137,5.0,27,24,386
138,C0138,5.0,6,6,94
139,C0139,5.0,58,55,89
140,C0140,4.92,33,25,137
141,C0141,5.0,15,14,97
142,C0142,5.0,5,3,160
143,C0143,5.0,15,15,108
144,C0144,,0,0,135
145,C0145,5.0,10,10,128
146,C0146,5.0,11,8,167
147,C0147,4.89,69,65,42
148,C0148,4.98,128,117,85
149,C0149,5.0,9,8,130
150,C0150,4.89,76,70,115
151,C0151,,0,0,28
152,C0152,5.0,15,11,48
153,C0153,,0,0,350
154,C0154,5.0,6,5,200
155,C0155,,0,0,179
156,C0156,4.74,91,76,48
157,C0157,5.0,2,1,64
158,C0158,4.75,17,16,172
159,C0159,5.0,5,5,150
160,C0160,4.83,25,18,149
161,C0161,4.77,14,13,44
162,C0162,4.9,64,51,120
163,C0163,5.0,26,22,38
164,C0164,5.0,4,3,82
165,C0165,,0,0,112
166,C0166,5.0,17,14,149
167,C0167,5.0,13,11,80
168,C0168,4.63,271,195,39
169,C0169,4.86,73,63,120
170,C0170,,0,0,87
171,C0171,5.0,7,6,35
172,C0172,4.78,62,49,35
173,C0173,4.81,139,98,51
174,C0174,4.96,26,23,40
175,C0175,5.0,56,51,89
176,C0176,5.0,15,13,72
177,C0177,5.0,5,4,89
178,C0178,4.84,54,49,40
179,C0179,5.0,6,2,600
180,C0180,4.89,26,19,199
181,C0181,5.0,7,3,265
182,C0182,5.0,36,34,200
183,C0183,4.79,99,78,120
184,C0184,4.83,23,18,39
185,C0185,4.94,39,36,85
186,C0186,4.79,45,38,57
187,C0187,5.0,10,9,57
188,C0188,5.0,4,4,226
189,C0189,4.86,27,22,44
190,C0190,4.97,41,35,112
191,C0191,4.67,3,3,148
192,C0192,5.0,21,19,153
193,C0193,4.8,5,5,74
194,C0194,4.69,14,13,269
195,C0195,4.86,91,69,129
196,C0196,4.95,21,19,84
197,C0197,5.0,9,8,58
198,C0198,,0,0,150
199,C0199,4.9,159,146,33
200,C0200,4.86,82,70,50
201,C0201,4.67,84,70,47
202,C0202,4.89,10,9,50
203,C0203,,0,0,150
204,C0204,5.0,71,63,99
205,C0205,5.0,2,2,71
206,C0206,4.86,75,66,56
207,C0207,,0,0,140
208,C0208,5.0,3,3,45
209,C0209,4.81,106,88,64
210,C0210,4.72,67,64,70
211,C0211,4.92,159,139,52
212,C0212,5.0,12,9,60
213,C0213,,0,0,67
214,C0214,5.0,3,3,48
215,C0215,5.0,11,6,132
216,C0216,4.9,66,49,54
217,C0217,4.88,59,52,63
218,C0218,4.83,44,36,54
219,C0219,5.0,10,10,176
220,C0220,4.97,41,37,90
221,C0221,4.87,66,54,62
222,C0222,5.0,4,2,800
223,C0223,5.0,10,8,299
224,C0224,4.8,5,5,216
225,C0225,4.91,36,34,99
226,C0226,4.86,73,64,50
227,C0227,5.0,27,23,125
228,C0228,4.73,56,51,45
229,C0229,4.7,100,81,50
230,C0230,5.0,18,14,53
231,C0231,4.85,34,33,90
232,C0232,4.73,52,37,58
233,C0233,4.88,52,40,43
234,C0234,,0,0,103
235,C0235,4.88,19,17,52
236,C0236,4.86,66,56,37
237,C0237,4.98,60,47,38
238,C0238,4.97,39,35,35
239,C0239,4.81,51,43,37
240,C0240,4.99,107,90,35
241,C0241,4.91,89,75,35
242,C0242,4.86,109,91,35
243,C0243,,3,0,35
244,C0244,5.0,4,3,24
245,C0245,4.9,61,49,31
246,C0246,4.63,54,48,32
247,C0247,4.95,120,100,41
248,C0248,4.95,20,20,58
249,C0249,5.0,14,11,42
250,C0250,4.92,59,49,43
251,C0251,4.92,30,24,34
252,C0252,4.8,25,20,49
253,C0253,4.98,58,50,59
254,C0254,,0,0,38
255,C0255,5.0,30,25,43
256,C0256,5.0,44,39,43
257,C0257,4.95,22,22,58
258,C0258,5.0,3,3,37
259,C0259,4.92,29,26,35
260,C0260,3.86,10,7,31
261,C0261,4.95,49,39,99
262,C0262,5.0,27,23,89
263,C0263,5.0,5,4,60
264,C0264,5.0,21,18,175
265,C0265,5.0,23,20,32
266,C0266,5.0,10,10,107
267,C0267,5.0,26,21,105
268,C0268,4.87,58,46,80
269,C0269,4.91,108,96,69
270,C0270,4.89,25,18,39
271,C0271,5.0,22,17,91
272,C0272,5.0,22,20,55
273,C0273,5.0,2,2,70
274,C0274,5.0,7,6,56
275,C0275,4.85,42,39,31
276,C0276,5.0,11,7,126
277,C0277,4.93,64,56,80
278,C0278,4.96,29,28,121
279,C0279,5.0,1,1,70
280,C0280,5.0,21,18,35
281,C0281,5.0,1,1,135
282,C0282,5.0,15,14,75
283,C0283,4.83,14,12,199
284,C0284,4.79,52,43,31
285,C0285,,0,0,175
286,C0286,5.0,1,1,59
287,C0287,4.95,104,88,129
288,C0288,5.0,17,17,96
289,C0289,5.0,30,30,87
290,C0290,5.0,6,5,60
291,C0291,5.0,43,30,199
292,C0292,5.0,1,1,95
293,C0293,4.87,18,15,60
294,C0294,4.85,16,13,99
295,C0295,,0,0,250
296,C0296,4.75,14,12,99
297,C0297,5.0,3,3,85
298,C0298,,0,0,66
299,C0299,4.99,80,67,79
300,C0300,5.0,57,53,149
301,C0301,5.0,15,14,84
302,C0302,5.0,28,26,169
303,C0303,5.0,2,2,65
304,C0304,4.82,83,61,29
305,C0305,4.66,43,32,29
306,C0306,4.97,37,34,79
307,C0307,4.7,114,82,29
308,C0308,4.98,55,49,42
309,C0309,5.0,5,5,89
310,C0310,5.0,3,3,230
311,C0311,4.93,15,14,72
312,C0312,,0,0,79
313,C0313,5.0,61,50,39
314,C0314,4.8,46,40,46
315,C0315,5.0,3,3,100
316,C0316,5.0,1,1,62
317,C0317,4.95,111,91,60
318,C0318,4.97,36,34,60
319,C0319,5.0,5,5,120
320,C0320,4.97,38,37,99
321,C0321,5.0,10,6,475
322,C0322,5.0,10,8,64
323,C0323,4.48,55,31,29
324,C0324,4.95,54,44,79
325,C0325,,0,0,110
326,C0326,4.93,36,27,29
327,C0327,4.93,19,15,99
328,C0328,5.0,10,8,110
329,C0329,5.0,2,2,90
330,C0330,5.0,28,22,55
331,C0331,5.0,30,27,65
332,C0332,4.84,30,25,45
333,C0333,5.0,9,7,43
334,C0334,5.0,36,27,75
335,C0335,5.0,6,4,31
336,C0336,5.0,17,17,49
337,C0337,5.0,20,15,175
338,C0338,4.5,10,10,65
339,C0339,5.0,14,14,150
340,C0340,5.0,22,15,58
341,C0341,,0,0,369
342,C0342,5.0,11,8,55
343,C0343,5.0,4,3,65
344,C0344,5.0,16,14,85
345,C0345,4.98,45,41,39
346,C0346,5.0,1,1,65
347,C0347,5.0,11,10,99
348,C0348,5.0,43,30,45
349,C0349,4.98,52,49,113
350,C0350,5.0,16,15,90
351,C0351,5.0,9,8,99
352,C0352,5.0,17,15,65
353,C0353,5.0,35,30,69
354,C0354,5.0,24,19,69
355,C0355,5.0,17,13,84
356,C0356,5.0,6,5,85
357,C0357,5.0,3,3,89
358,C0358,4.75,12,12,88
359,C0359,,0,0,175
360,C0360,5.0,4,3,90
361,C0361,5.0,1,1,65
362,C0362,,0,0,149
363,C0363,5.0,2,2,150
364,C0364,4.88,27,24,34
365,C0365,5.0,26,22,49
366,C0366,4.92,14,13,44
367,C0367,5.0,15,9,65
368,C0368,4.8,7,5,42
369,C0369,4.6,10,10,42
370,C0370,4.98,99,85,44
371,C0371,5.0,31,26,62
372,C0372,,0,0,30
373,C0373,5.0,28,22,32
374,C0374,5.0,28,24,45
375,C0375,5.0,38,28,36
376,C0376,4.97,44,37,31
377,C0377,,0,0,57
378,C0378,,0,0,40
379,C0379,5.0,11,11,42
380,C0380,5.0,4,3,49
381,C0381,5.0,27,25,49
382,C0382,5.0,3,3,52
383,C0383,5.0,7,4,45
384,C0384,5.0,3,2,38
385,C0385,5.0,10,7,52
386,C0386,4.84,35,32,30
387,C0387,5.0,39,36,33
388,C0388,5.0,2,2,52
389,C0389,5.0,7,7,36
390,C0390,5.0,2,1,31
391,C0391,4.71,44,38,35
392,C0392,5.0,19,15,32
393,C0393,4.91,12,12,35
394,C0394,4.97,80,73,29
395,C0395,4.94,66,52,30
396,C0396,5.0,38,37,37
397,C0397,5.0,1,1,30
398,C0398,4.9,34,29,30
399,C0399,4.96,113,94,27
400,C0400,4.86,22,21,31
401,C0401,5.0,48,48,29
402,C0402,4.97,42,39,28
403,C0403,4.64,16,14,27
404,C0404,,1,0,28
405,C0405,4.79,18,14,26
406,C0406,5.0,11,10,25
407,C0407,4.89,59,47,22
408,C0408,4.78,40,36,24
409,C0409,4.92,201,146,24
410,C0410,5.0,5,5,99
411,C0411,,1,0,229
412,C0412,5.0,2,2,42
413,C0413,5.0,9,8,57
414,C0414,4.96,32,23,68
415,C0415,5.0,2,2,99
416,C0416,,0,0,80
417,C0417,5.0,6,4,229
418,C0418,5.0,2,2,300
419,C0419,5.0,1,1,65
420,C0420,5.0,1,1,450
421,C0421,,0,0,700
422,C0422,5.0,47,42,64
423,C0423,4.9,25,21,152
424,C0424,5.0,21,20,199
425,C0425,,0,0,150
426,C0426,4.92,101,92,69
427,C0427,5.0,4,4,99
428,C0428,4.95,87,82,59
429,C0429,4.92,64,59,90
430,C0430,4.98,45,42,34
431,C0431,5.0,9,8,999
432,C0432,4.97,71,65,31
433,C0433,5.0,19,16,78
434,C0434,5.0,9,8,49
435,C0435,5.0,7,6,400
436,C0436,4.5,4,4,47
437,C0437,5.0,4,1,62
438,C0438,5.0,1,1,142
439,C0439,4.83,6,6,127
440,C0440,5.0,5,4,42
441,C0441,5.0,4,4,42
442,C0442,5.0,11,11,90
443,C0443,5.0,66,59,32
444,C0444,5.0,3,2,99
445,C0445,5.0,23,16,36
446,C0446,4.91,40,34,39
447,C0447,4.95,27,22,34
448,C0448,5.0,29,25,39
449,C0449,4.95,21,19,39
450,C0450,4.69,17,13,65
451,C0451,4.84,31,25,24
452,C0452,,1,0,80
453,C0453,4.65,22,20,45
454,C0454,4.58,25,19,49
455,C0455,4.86,32,28,45
456,C0456,5.0,17,13,48
457,C0457,4.7,61,54,34
458,C0458,5.0,3,3,34
459,C0459,4.65,29,20,28
460,C0460,5.0,1,1,95
461,C0461,5.0,16,15,74
462,C0462,4.92,52,49,41
463,C0463,5.0,5,3,55
464,C0464,5.0,5,5,45
465,C0465,5.0,18,16,40
466,C0466,,0,0,130
467,C0467,,0,0,695
468,C0468,4.75,6,4,43
469,C0469,5.0,4,4,46
470,C0470,5.0,7,6,74
471,C0471,4.92,163,138,32
472,C0472,4.73,79,62,29
473,C0473,4.63,129,112,29
474,C0474,4.75,102,81,29
475,C0475,4.95,230,199,35
476,C0476,4.69,94,74,40
477,C0477,4.92,29,25,49
478,C0478,5.0,16,14,39
479,C0479,,0,0,67
480,C0480,5.0,7,6,54
481,C0481,,0,0,194
482,C0482,4.88,22,17,69
483,C0483,5.0,17,15,198
484,C0484,5.0,15,14,59
485,C0485,4.97,76,67,109
486,C0486,5.0,7,5,69
487,C0487,4.97,77,70,115
488,C0488,5.0,3,3,36
489,C0489,4.88,20,17,172
490,C0490,4.92,60,53,79
491,C0491,5.0,1,1,94
492,C0492,4.94,40,35,90
493,C0493,5.0,9,9,55
494,C0494,,0,0,79
495,C0495,4.96,85,70,153
496,C0496,5.0,12,12,59
497,C0497,5.0,1,1,99
498,C0498,4.96,53,48,55
499,C0499,5.0,16,15,154
500,C0500,5.0,18,14,89
501,C0501,5.0,1,1,46
502,C0502,4.99,170,135,52
503,C0503,5.0,4,3,89
504,C0504,5.0,19,15,72
505,C0505,4.88,50,48,49
506,C0506,,0,0,50
507,C0507,4.97,246,173,52
508,C0508,5.0,25,21,215
509,C0509,5.0,5,4,80
510,C0510,,0,0,75
511,C0511,5.0,4,4,56
512,C0512,5.0,9,7,42
513,C0513,5.0,5,4,99
514,C0514,,0,0,184
515,C0515,5.0,1,1,68
516,C0516,,0,0,75
517,C0517,5.0,90,77,119
518,C0518,5.0,15,13,140
519,C0519,4.91,28,23,85
520,C0520,,0,0,75
521,C0521,5.0,30,27,43
522,C0522,5.0,22,17,65
523,C0523,,0,0,69
524,C0524,5.0,3,3,39
525,C0525,5.0,16,16,35
526,C0526,4.95,93,81,52
527,C0527,5.0,16,15,65
528,C0528,5.0,1,1,204
529,C0529,,0,0,60
530,C0530,,0,0,58
531,C0531,5.0,10,9,40
532,C0532,,0,0,70
533,C0533,5.0,8,7,111
534,C0534,5.0,3,1,99
535,C0535,5.0,1,1,750
536,C0536,5.0,33,31,79
537,C0537,5.0,25,21,28
538,C0538,4.96,31,28,30
539,C0539,5.0,4,4,65
540,C0540,5.0,3,3,64
541,C0541,4.87,125,95,35
542,C0542,,0,0,95
543,C0543,,0,0,55
544,C0544,4.75,8,8,70
545,C0545,5.0,5,4,40
546,C0546,,0,0,75
547,C0547,5.0,12,11,32
548,C0548,4.5,2,2,60
549,C0549,4.93,34,30,39
550,C0550,5.0,1,1,27
551,C0551,4.75,29,24,26
552,C0552,4.92,18,12,37
553,C0553,4.78,30,27,37
554,C0554,5.0,20,20,175
555,C0555,,0,0,65
556,C0556,5.0,1,1,34
557,C0557,5.0,6,6,45
558,C0558,5.0,3,3,125
559,C0559,5.0,2,2,45
560,C0560,5.0,5,4,99
561,C0561,5.0,17,15,30
562,C0562,5.0,3,3,52
563,C0563,5.0,120,109,56
564,C0564,5.0,1,1,101
565,C0565,,0,0,80
566,C0566,5.0,17,14,82
567,C0567,5.0,9,8,129
568,C0568,5.0,17,14,31
569,C0569,4.91,63,57,70
570,C0570,5.0,20,14,34
571,C0571,,0,0,48
572,C0572,5.0,2,2,136
573,C0573,5.0,6,5,125
574,C0574,4.67,3,3,39
575,C0575,4.86,25,22,38
576,C0576,4.79,77,71,25
577,C0577,4.87,129,110,44
578,C0578,4.87,172,143,52
579,C0579,4.97,41,40,88
580,C0580,5.0,10,8,119
581,C0581,5.0,17,16,74
582,C0582,,0,0,54
583,C0583,5.0,42,38,90
584,C0584,5.0,3,2,110
585,C0585,5.0,2,2,34
586,C0586,4.75,4,4,161
587,C0587,5.0,15,14,168
588,C0588,5.0,8,7,42
589,C0589,5.0,51,46,95
590,C0590,5.0,3,3,70
591,C0591,,0,0,63
592,C0592,4.98,47,43,45
593,C0593,4.88,19,16,93
594,C0594,,0,0,125
595,C0595,5.0,36,33,76
596,C0596,5.0,5,4,200
597,C0597,4.88,9,8,35
598,C0598,4.97,34,31,139
599,C0599,5.0,6,6,90
600,C0600,5.0,38,35,65
601,C0601,5.0,3,3,42
602,C0602,,0,0,75
603,C0603,5.0,10,7,65
604,C0604,4.97,35,35,54
605,C0605,4.95,24,22,75
606,C0606,5.0,10,10,60
607,C0607,5.0,4,4,221
608,C0608,5.0,21,19,44
609,C0609,5.0,13,12,60
610,C0610,4.9,40,39,46
611,C0611,5.0,24,21,83
612,C0612,5.0,60,54,40
613,C0613,5.0,56,49,84
614,C0614,5.0,3,2,150
615,C0615,5.0,4,3,600
616,C0616,4.93,80,74,60
617,C0617,,0,0,80
618,C0618,5.0,2,1,46
619,C0619,5.0,3,3,45
620,C0620,,0,0,39
621,C0621,4.74,77,61,79
622,C0622,5.0,13,13,37
623,C0623,4.9,11,10,46
624,C0624,5.0,6,5,44
625,C0625,4.89,43,38,42
626,C0626,4.92,29,24,42
627,C0627,4.84,36,31,37
628,C0628,5.0,2,1,55
629,C0629,5.0,14,13,40
630,C0630,,0,0,53
631,C0631,4.76,52,42,34
632,C0632,5.0,30,25,41
633,C0633,4.82,89,74,42
634,C0634,4.82,108,90,42
635,C0635,4.81,120,96,39
636,C0636,4.85,121,99,37
637,C0637,5.0,28,25,162
638,C0638,5.0,37,28,51
639,C0639,4.79,21,19,109
640,C0640,5.0,23,19,129
641,C0641,5.0,9,7,150
642,C0642,4.44,10,9,53
643,C0643,,0,0,50
644,C0644,5.0,57,52,36
645,C0645,4.88,18,16,102
646,C0646,5.0,18,13,150
647,C0647,5.0,39,30,91
648,C0648,4.97,38,35,95
649,C0649,4.96,28,28,65
650,C0650,5.0,26,20,85
651,C0651,,0,0,254
652,C0652,5.0,17,16,89
653,C0653,5.0,11,10,55
654,C0654,5.0,28,26,56
655,C0655,5.0,17,16,76
656,C0656,4.57,17,14,174
657,C0657,5.0,1,1,140
658,C0658,5.0,4,4,58
659,C0659,4.9,10,10,31
660,C0660,4.92,21,13,98
661,C0661,5.0,43,41,75
662,C0662,4.98,57,50,39
663,C0663,5.0,16,16,96
664,C0664,5.0,13,12,72
665,C0665,5.0,10,7,180
666,C0666,,0,0,300
667,C0667,5.0,9,4,78
668,C0668,4.93,51,43,38
669,C0669,4.85,14,13,59
670,C0670,4.58,31,26,47
671,C0671,4.97,46,38,37
672,C0672,5.0,12,10,50
673,C0673,5.0,18,16,34
674,C0674,5.0,30,23,38
675,C0675,4.95,43,41,36
676,C0676,5.0,8,5,30
677,C0677,,0,0,44
678,C0678,4.94,38,32,32
679,C0679,5.0,9,8,125
680,C0680,5.0,1,1,100
681,C0681,4.38,11,8,33
682,C0682,4.94,37,31,43
683,C0683,5.0,6,5,134
684,C0684,5.0,21,21,125
685,C0685,4.97,65,63,132
686,C0686,5.0,44,42,119
687,C0687,4.97,71,64,115
688,C0688,5.0,25,23,125
689,C0689,5.0,4,4,179
690,C0690,5.0,4,2,56
691,C0691,5.0,4,3,170
692,C0692,5.0,6,5,130
693,C0693,5.0,10,10,79
694,C0694,5.0,6,5,90
695,C0695,4.71,8,7,126
696,C0696,5.0,12,10,99
697,C0697,,0,0,100
698,C0698,5.0,19,16,70
699,C0699,,1,0,100
700,C0700,5.0,1,1,32
701,C0701,5.0,8,6,97
702,C0702,4.95,51,42,37
703,C0703,4.92,31,26,79
704,C0704,4.91,59,46,69
705,C0705,4.72,81,61,50
706,C0706,5.0,17,14,36
707,C0707,5.0,57,49,40
708,C0708,4.85,183,155,50
709,C0709,4.29,19,14,28
710,C0710,,0,0,109
711,C0711,4.83,70,58,41
712,C0712,4.98,72,64,85
713,C0713,4.7,34,27,56
714,C0714,5.0,4,3,39
715,C0715,5.0,19,16,52
716,C0716,5.0,4,4,140
717,C0717,4.99,71,67,145
718,C0718,4.96,33,28,96
719,C0719,5.0,3,3,72
720,C0720,5.0,7,7,349
721,C0721,4.88,9,8,54
722,C0722,5.0,12,10,58
723,C0723,4.92,70,66,129
724,C0724,5.0,8,7,83
725,C0725,5.0,47,38,119
726,C0726,5.0,10,5,50
727,C0727,5.0,5,4,38
728,C0728,5.0,4,3,220
729,C0729,5.0,5,5,85
730,C0730,4.9,42,42,123
731,C0731,,0,0,160
732,C0732,5.0,7,6,106
733,C0733,,3,0,299
734,C0734,5.0,1,1,57
735,C0735,5.0,8,7,325
736,C0736,,1,0,249
737,C0737,5.0,25,22,36
738,C0738,5.0,10,7,42
739,C0739,5.0,34,31,45
740,C0740,4.99,80,72,48
741,C0741,5.0,20,18,149
742,C0742,,0,0,199
743,C0743,5.0,1,1,160
744,C0744,4.8,5,5,68
745,C0745,5.0,1,1,88
746,C0746,,0,0,75
747,C0747,5.0,2,2,70
748,C0748,5.0,12,12,74
749,C0749,5.0,7,7,50
750,C0750,,0,0,80
751,C0751,5.0,5,5,254
752,C0752,,0,0,75
753,C0753,5.0,2,2,50
754,C0754,4.95,106,96,80
755,C0755,4.89,9,9,189
756,C0756,5.0,10,8,94
757,C0757,,0,0,60
758,C0758,5.0,2,2,34
759,C0759,4.9,83,67,86
760,C0760,5.0,19,15,32
761,C0761,4.69,14,13,46
762,C0762,5.0,65,57,84
763,C0763,5.0,25,23,79
764,C0764,4.56,11,9,30
765,C0765,5.0,2,2,175
766,C0766,5.0,15,14,74
767,C0767,4.94,53,47,78
768,C0768,5.0,74,63,59
769,C0769,4.95,84,75,66
770,C0770,5.0,19,19,44
771,C0771,5.0,31,29,64
772,C0772,4.97,43,39,64
773,C0773,5.0,2,2,66
774,C0774,4.86,43,36,42
775,C0775,4.86,35,29,43
776,C0776,5.0,3,3,60
777,C0777,5.0,18,17,80
778,C0778,4.77,29,22,82
779,C0779,4.72,41,32,33
780,C0780,5.0,4,3,70
781,C0781,4.93,77,71,60
782,C0782,4.94,56,51,49
783,C0783,4.9,87,73,56
784,C0784,5.0,5,3,48
785,C0785,4.89,21,19,54
786,C0786,5.0,2,1,189
787,C0787,4.98,95,85,49
788,C0788,5.0,30,26,36
789,C0789,4.95,96,76,45
790,C0790,5.0,9,7,42
791,C0791,5.0,3,2,38
792,C0792,5.0,4,3,46
793,C0793,4.99,90,79,34
794,C0794,5.0,4,4,45
795,C0795,4.2,6,5,48
796,C0796,4.89,11,9,42
797,C0797,4.9,50,40,40
798,C0798,5.0,7,6,40
799,C0799,4.92,14,12,36
800,C0800,5.0,19,14,36
801,C0801,4.94,133,106,45
802,C0802,5.0,31,29,39
803,C0803,4.95,44,42,34
804,C0804,5.0,2,1,32
805,C0805,4.93,16,14,32
806,C0806,5.0,25,23,32
807,C0807,5.0,8,6,30
808,C0808,5.0,1,1,26
809,C0809,4.8,23,15,90
810,C0810,5.0,23,22,205
811,C0811,4.75,53,40,52
812,C0812,5.0,9,7,59
813,C0813,4.33,11,9,37
814,C0814,5.0,1,1,172
815,C0815,5.0,2,1,225
816,C0816,4.98,59,55,79
817,C0817,5.0,1,1,90
818,C0818,5.0,20,19,69
819,C0819,,0,0,32
820,C0820,5.0,15,15,42
821,C0821,,0,0,80
822,C0822,,0,0,45
823,C0823,4.98,70,66,143
824,C0824,5.0,8,6,90
825,C0825,5.0,1,1,49
826,C0826,5.0,9,8,59
827,C0827,5.0,20,18,245
828,C0828,5.0,1,1,47
829,C0829,4.94,17,17,46
830,C0830,,0,0,196
831,C0831,5.0,5,4,55
832,C0832,5.0,6,6,86
833,C0833,,0,0,180
834,C0834,4.88,12,8,40
835,C0835,5.0,8,4,90
836,C0836,5.0,19,18,80
837,C0837,5.0,16,15,43
838,C0838,4.75,8,8,94
839,C0839,5.0,1,1,33
840,C0840,5.0,3,1,399
841,C0841,5.0,14,12,90
842,C0842,5.0,4,4,85
843,C0843,4.38,8,8,170
844,C0844,5.0,9,8,47
845,C0845,5.0,21,20,34
846,C0846,4.85,38,34,31
847,C0847,5.0,4,3,31
848,C0848,4.94,39,35,33
849,C0849,,0,0,42
850,C0850,5.0,3,3,146
851,C0851,4.95,20,19,59
852,C0852,4.8,13,10,125
853,C0853,,0,0,85
854,C0854,5.0,1,1,65
855,C0855,5.0,4,3,150
856,C0856,,0,0,82
857,C0857,5.0,44,41,39
858,C0858,5.0,10,9,50
859,C0859,5.0,4,4,54
860,C0860,5.0,12,12,74
861,C0861,5.0,32,29,249
862,C0862,5.0,9,8,70
863,C0863,5.0,18,15,34
864,C0864,4.0,2,2,90
865,C0865,,0,0,175
866,C0866,,0,0,49
867,C0867,5.0,2,1,95
868,C0868,4.9,31,29,95
869,C0869,4.95,45,39,95
870,C0870,4.98,48,43,120
871,C0871,5.0,48,42,45
872,C0872,5.0,9,8,75
873,C0873,5.0,3,3,39
874,C0874,4.88,64,59,75
875,C0875,4.81,46,42,75
876,C0876,4.89,42,38,80
877,C0877,,0,0,1485
878,C0878,5.0,2,1,35
879,C0879,4.94,24,17,36
880,C0880,4.96,120,101,73
881,C0881,4.83,20,12,39
882,C0882,4.97,95,87,55
883,C0883,4.82,107,87,57
884,C0884,5.0,11,11,75
885,C0885,4.89,33,27,50
886,C0886,4.91,58,47,45
887,C0887,5.0,57,47,41
